"redis_instances","throughput","type"
9,442605.85,controls_on
9,442347.81,controls_on
9,444283.24000000005,controls_on
9,444300.61,controls_on
9,442992.0999999999,controls_on
9,441156.59,controls_on
9,442526.79,controls_on
13,543119.04,controls_on
13,536847.6699999999,controls_on
13,526238.4099999999,controls_on
13,528862.02,controls_on
13,526466.03,controls_on
13,525393.1799999999,controls_on
13,528277.3099999999,controls_on
13,522251.3200000001,controls_on
13,526993.29,controls_on
13,531423.75,controls_on
17,576535.4700000001,controls_on
17,584489.96,controls_on
17,594096.73,controls_on
17,570014.49,controls_on
17,587772.9299999999,controls_on
17,595861.4399999998,controls_on
17,584499.67,controls_on
17,580456.62,controls_on
17,589689.1699999999,controls_on
17,577013.5499999999,controls_on
21,592243.6600000001,controls_on
21,584190.4799999999,controls_on
21,592100.3,controls_on
21,585047.45,controls_on
21,575842.33,controls_on
21,586931.2999999999,controls_on
21,590812.66,controls_on
21,599712.44,controls_on
21,592352.15,controls_on
21,591483.52,controls_on
25,579387.1099999999,controls_on
25,585456.52,controls_on
25,579050.41,controls_on
25,588482.5599999999,controls_on
25,595635.0899999999,controls_on
25,582194.76,controls_on
25,581041.2400000001,controls_on
25,589811.2499999999,controls_on
25,575064.5100000001,controls_on
25,576289.36,controls_on
29,593123.8900000001,controls_on
29,576143.9299999999,controls_on
29,572716.5300000001,controls_on
29,570909.8999999999,controls_on
29,574269.2899999999,controls_on
29,579045.3999999999,controls_on
29,566466.6100000002,controls_on
29,597659.5899999999,controls_on
29,601148.69,controls_on
29,587207.8499999999,controls_on
