"redis_instances","throughput","type"
30,721726.59,ipc_24_threads
30,743091.67,ipc_24_threads
30,732015.59,ipc_24_threads
30,734416.06,ipc_24_threads
30,759210.55,ipc_32_threads
30,762459.75,ipc_32_threads
30,738989.5,ipc_32_threads
30,749145.51,ipc_32_threads
30,700230.73,ipc_32_threads
30,735458.93,ipc_40_threads
30,740484.49,ipc_40_threads
30,788014.94,ipc_40_threads
30,744101.11,ipc_40_threads
30,693253.28,ipc_40_threads
30,761626.77,ipc_64_threads
30,766706.73,ipc_64_threads
30,767862.39,ipc_64_threads
30,753070.16,ipc_64_threads
30,740420.54,ipc_64_threads
35,857397.6,non_ipc
35,854541.05,non_ipc
35,859354.83,non_ipc
35,869697.8,non_ipc
35,863289.71,non_ipc
35,862163.83,ipc_1_threads
35,865714.06,ipc_1_threads
35,871295.25,ipc_1_threads
35,866341.97,ipc_1_threads
35,862021.92,ipc_1_threads
35,856182.7,ipc_2_threads
35,853146.43,ipc_2_threads
35,853016.12,ipc_2_threads
35,844190.27,ipc_2_threads
35,844568.81,ipc_2_threads
35,794707.13,ipc_4_threads
35,799063.34,ipc_4_threads
35,799236.8,ipc_4_threads
35,800161.62,ipc_4_threads
35,805323.46,ipc_4_threads
35,768945.76,ipc_8_threads
35,770675.22,ipc_8_threads
35,769799.4,ipc_8_threads
35,749385.75,ipc_8_threads
35,754082.76,ipc_8_threads
35,749485.84,ipc_16_threads
35,748489.16,ipc_16_threads
35,772794.34,ipc_16_threads
35,759285.96,ipc_16_threads
35,779120.81,ipc_16_threads
35,774904.44,ipc_24_threads
35,824521.39,ipc_24_threads
35,788496.33,ipc_24_threads
35,778882.56,ipc_24_threads
35,797186.96,ipc_24_threads
35,819028.82,ipc_32_threads
35,784642.25,ipc_32_threads
35,797927.01,ipc_32_threads
35,826479.05,ipc_32_threads
35,825228.66,ipc_32_threads
35,852586.06,ipc_40_threads
35,833433.31,ipc_40_threads
35,804027.65,ipc_40_threads
35,838759.41,ipc_40_threads
35,794735.91,ipc_40_threads
35,837802.89,ipc_64_threads
35,807768.99,ipc_64_threads
35,824912.49,ipc_64_threads
35,863325.52,ipc_64_threads
35,860124.95,ipc_64_threads
40,870755.96,non_ipc
40,867632.25,non_ipc
40,889695.65,non_ipc
40,874546.27,non_ipc
